Minerai de cuivre|Mineur|Extraction de minerai|1|Pierre|Martelterre:Thanalan occidental:Thanalan:5:False,Bassin des Désépinés:Thanalan central:Thanalan:5:False
Éclat de feu|Mineur|Extraction de minerai|1|Cristal|Martelterre:Thanalan occidental:Thanalan:5:False,Les Os desséchés:Thanalan oriental:Thanalan:20:False,Bois du Renouveau:Thanalan oriental:Thanalan:30:False,Les Os desséchés:Thanalan oriental:Thanalan:45:False
Éclat de glace|Mineur|Extraction de minerai|1|Cristal|Vallée du Crâne:Noscea occidentale:Noscea:20:False,Hauts-Chemins:Forêt du sud:Noscea:25:False,Le Don d'Urth:Forêt du sud:Noscea:40:False,L'Arête blanche:Hautes terres du Coerthas central:Noscea:5:False,Tête du dragon:Hautes terres du Coerthas central:Noscea:40:False
Éclat de vent|Mineur|Extraction de minerai|1|Cristal|Havre des Renouées:Forêt centrale:Forêt de Sombrelinceul:35:False,Bassin des Désépinés:Thanalan central:Forêt de Sombrelinceul:5:False,Brumebleue:Thanalan septentrional:Forêt de Sombrelinceul:50:False
Éclat de terre|Mineur|Extraction de minerai|1|Cristal|La Cédrière:Basse-Noscea:Noscea:10:False,Lac d'Airain:Haute-Noscea:Noscea:45:False,Ruines de Gelmorra:Forêt du nord:Noscea:5:False,Futaie des Murmures:Forêt du nord:Noscea:10:False,Sommière de la Paix:Forêt du nord:Noscea:20:False
Éclat de foudre|Mineur|Extraction de minerai|1|Cristal|Bassin des Désépinés:Thanalan central:Thanalan:5:False,Roncenoire:Thanalan central:Thanalan:10:False,Désert de Sagolii:Thanalan méridional:Thanalan:35:False,L'Enchevêtrement:Mor Dhona:Thanalan:5:False
Éclat d'eau|Mineur|Extraction de minerai|1|Cristal|Rives sanglantes:Noscea orientale:Noscea:35:False,Martelterre:Thanalan occidental:Noscea:5:False,Martelterre:Thanalan occidental:Noscea:10:False,Confins d'Horizon:Thanalan occidental:Noscea:15:False
Eau boueuse|Mineur|Extraction de minerai|3|Réactif|Martelterre:Thanalan occidental:Thanalan:5:False,Bassin des Désépinés:Thanalan central:Thanalan:5:False
Fragment d'os|Mineur|Extraction de minerai|5|Os|Bassin des Désépinés:Thanalan central:Thanalan:5:False
Minerai d'étain|Mineur|Extraction de minerai|6|Pierre|Martelterre:Thanalan occidental:Thanalan:10:False,Roncenoire:Thanalan central:Thanalan:10:False
Pierre de soleil brute|Mineur|Extraction de minerai|7|Pierre|La Cédrière:Basse-Noscea:Noscea:10:False
Lapis-lazuli brut|Mineur|Extraction de minerai|7|Pierre|Futaie des Murmures:Forêt du nord:Forêt de Sombrelinceul:10:False
Fémur sale|Mineur|Extraction de minerai|8|Os|Martelterre:Thanalan occidental:Thanalan:10:False,Roncenoire:Thanalan central:Thanalan:10:False
Minerai de zinc|Mineur|Extraction de minerai|9|Pierre|Martelterre:Thanalan occidental:Thanalan:10:False,Roncenoire:Thanalan central:Thanalan:10:False
Éclat d'obsidienne|Mineur|Extraction de minerai|10|Pierre|Martelterre:Thanalan occidental:Thanalan:10:False
Argile|Mineur|Extraction de minerai|10|Réactif|Futaie des Murmures:Forêt du nord:Forêt de Sombrelinceul:10:False
Minerai de fer|Mineur|Extraction de minerai|14|Pierre|Confins d'Horizon:Thanalan occidental:Thanalan:15:False
Malachite brute|Mineur|Extraction de minerai|16|Pierre|Les Os desséchés:Thanalan oriental:Thanalan:20:False
Sphène brut|Mineur|Extraction de minerai|17|Pierre|Sommière de la Paix:Forêt du nord:Forêt de Sombrelinceul:20:False
Fluorine brute|Mineur|Extraction de minerai|17|Pierre|Les Os desséchés:Thanalan oriental:Thanalan:20:False
Danburite brute|Mineur|Extraction de minerai|18|Pierre|Vallée du Crâne:Noscea occidentale:Noscea:20:False
Telline du levant|Mineur|Extraction de minerai|19|Produit de la pêche|Vallée du Crâne:Noscea occidentale:Noscea:20:False
Alun|Mineur|Extraction de minerai|19|Réactif|Les Os desséchés:Thanalan oriental:Thanalan:20:False
Eau effervescente|Mineur|Extraction de minerai|24|Réactif|Hauts-Chemins:Forêt du sud:Forêt de Sombrelinceul:25:False
Minerai d'argent|Mineur|Extraction de minerai|25|Pierre|Hauts-Chemins:Forêt du sud:Forêt de Sombrelinceul:25:False
Cristal de feu|Mineur|Extraction de minerai|26|Cristal|Forêt des chocobos:Avant-pays dravanien:Dravania:55:False,Terres fumantes:Avant-pays dravanien:Dravania:55:False,Déclin d'Avalonia:Avant-pays dravanien:Dravania:60:False,Chaîne du Gensui:Yanxia:Dravania:65:False,Railleries d'au-delà:Yanxia:Dravania:70:False
Cristal de glace|Mineur|Extraction de minerai|26|Cristal|Deux-Rivières:Hautes terres du Coerthas occidental:Coerthas:50:False,Prairie de Gorgagne:Hautes terres du Coerthas occidental:Coerthas:55:False,Rougebord:Hautes terres du Coerthas occidental:Coerthas:60:False,Lit d'os:Hautes terres du Coerthas occidental:Coerthas:65:False,Hautes berges:Les Lacs:Coerthas:70:True,Jardins de la Reine:Les Lacs:Coerthas:75:False
Cristal de vent|Mineur|Extraction de minerai|26|Cristal|Quartier des Fabricateurs:Arrière-pays dravanien:Dravania:60:False,Confins est:Les Marges:Dravania:60:False,Roches rayées:Les Marges:Dravania:65:False
Cristal de terre|Mineur|Extraction de minerai|26|Cristal|Thermes d'Ouestebourg:L'Écume des cieux de Dravania:Dravania:75:False,Pierres-qui-dorment:Les Pics:Dravania:60:False
Cristal de foudre|Mineur|Extraction de minerai|26|Cristal|Voor Sian Siran:L'Écume des cieux d'Abalathia:Abalathia:60:False,Calcul de Ragill:Steppe d'Azim:Abalathia:70:True,Ivraie:Grand-Lac:Abalathia:75:False,Porte de l'Exarque:Grand-Lac:Abalathia:80:True,Église de l'Aurore:Grand-Lac:Abalathia:80:False
Cristal d'eau|Mineur|Extraction de minerai|26|Cristal|Voor Sian Siran:L'Écume des cieux d'Abalathia:Abalathia:60:False,Dos-brisé:L'Écume des cieux d'Abalathia:Abalathia:75:False,Fosse de Turquoise:Mer de Rubis:Abalathia:60:False,Couvercle des enfers:Mer de Rubis:Abalathia:65:False,Thysm Lran:Il Mheg:Abalathia:70:False,Villégiature du Lettré:Il Mheg:Abalathia:75:False,Astropole des K'mul:Rak'tika:Abalathia:80:True,La Frairie sauvage:Rak'tika:Abalathia:80:False
Éclat d'obsidienne de wyverne|Mineur|Extraction de minerai|28|Pierre|Bois du Renouveau:Thanalan oriental:Thanalan:30:False
Salpêtre|Mineur|Extraction de minerai|30|Réactif|Bois du Renouveau:Thanalan oriental:Thanalan:30:False
Granit|Mineur|Extraction de minerai|31|Pierre|Havre des Renouées:Forêt centrale:Forêt de Sombrelinceul:35:False
Grenat brut|Mineur|Extraction de minerai|31|Pierre|Rives sanglantes:Noscea orientale:Noscea:35:False
Petit ver|Mineur|Extraction de minerai|31|Divers|Désert de Sagolii:Thanalan méridional:Thanalan:35:False
Héliodore brut|Mineur|Extraction de minerai|32|Pierre|Désert de Sagolii:Thanalan méridional:Thanalan:35:False
Goshénite brute|Mineur|Extraction de minerai|33|Pierre|Rives sanglantes:Noscea orientale:Noscea:35:False
Péridot brut|Mineur|Extraction de minerai|33|Pierre|Havre des Renouées:Forêt centrale:Forêt de Sombrelinceul:35:False
Minerai de mithril|Mineur|Extraction de minerai|34|Pierre|Désert de Sagolii:Thanalan méridional:Thanalan:35:False
Améthyste brute|Mineur|Extraction de minerai|34|Pierre|Havre des Renouées:Forêt centrale:Forêt de Sombrelinceul:35:False
Aigue-marine brute|Mineur|Extraction de minerai|35|Pierre|Rives sanglantes:Noscea orientale:Noscea:35:False
Tourmaline brute|Mineur|Extraction de minerai|36|Pierre|Le Don d'Urth:Forêt du sud:Forêt de Sombrelinceul:40:False
Spinelle brut|Mineur|Extraction de minerai|37|Pierre|Le Don d'Urth:Forêt du sud:Forêt de Sombrelinceul:40:False
Zircon brut|Mineur|Extraction de minerai|38|Pierre|Tête du dragon:Hautes terres du Coerthas central:Coerthas:40:False
Jade|Mineur|Extraction de minerai|39|Pierre|Tête du dragon:Hautes terres du Coerthas central:Coerthas:40:False
Alun noir|Mineur|Extraction de minerai|40|Réactif|Le Don d'Urth:Forêt du sud:Forêt de Sombrelinceul:40:False
Turquoise brute|Mineur|Extraction de minerai|41|Pierre|Lac d'Airain:Haute-Noscea:Noscea:45:False
Minerai d'électrum|Mineur|Extraction de minerai|43|Pierre|Lac d'Airain:Haute-Noscea:Noscea:45:False
Ambre brut|Mineur|Extraction de minerai|44|Pierre|Les Os desséchés:Thanalan oriental:Thanalan:45:False
Rubellite brute|Mineur|Extraction de minerai|45|Pierre|Les Os desséchés:Thanalan oriental:Thanalan:45:False
Œuf de basilic|Mineur|Extraction de minerai|46|Pierre|Brumebleue:Thanalan septentrional:Thanalan:50:False
Minerai de cobalt|Mineur|Extraction de minerai|47|Pierre|Brumebleue:Thanalan septentrional:Thanalan:50:False
Carapace de tortue marine|Mineur|Extraction de minerai|49|Os|Brumebleue:Thanalan septentrional:Thanalan:50:False
Corne d'ogre|Mineur|Extraction de minerai|50|Os|Brumebleue:Thanalan septentrional:Thanalan:50:False
Agrégat de glace|Mineur|Extraction de minerai|50|Cristal|Hautes berges:Les Lacs:Gyr Abania:70:True
Agrégat de foudre|Mineur|Extraction de minerai|50|Cristal|Calcul de Ragill:Steppe d'Azim:Othard:70:True,Porte de l'Exarque:Grand-Lac:Othard:80:True
Agrégat d'eau|Mineur|Extraction de minerai|50|Cristal|Astropole des K'mul:Rak'tika:Norvrandt:80:True
Minerai d'or|Mineur|Extraction de minerai|50|Pierre|Mur incandescent:Thanalan oriental:Thanalan:50:True
Minerai de sombracier|Mineur|Extraction de minerai|50|Pierre|Tête du dragon:Hautes terres du Coerthas central:Coerthas:50:True
Larve de coblyn|Mineur|Extraction de minerai|50|Mascotte|Mur incandescent:Thanalan oriental:Thanalan:50:True
Cristal terni|Mineur|Extraction de minerai|50|Pierre|Baie de Moraby:Basse-Noscea:Noscea:50:True,Roncenoire:Thanalan central:Noscea:50:True,Mur incandescent:Thanalan oriental:Noscea:50:True,Eaux-Mortes:Thanalan méridional:Noscea:50:True,Brumebleue:Thanalan septentrional:Noscea:50:True,Poussée de Raubahn:Thanalan septentrional:Noscea:50:True,Tête du dragon:Hautes terres du Coerthas central:Noscea:50:True
Ver grégaire|Mineur|Extraction de minerai|50|Divers|Baie de Moraby:Basse-Noscea:Noscea:50:True,Roncenoire:Thanalan central:Noscea:50:True,Mur incandescent:Thanalan oriental:Noscea:50:True,Eaux-Mortes:Thanalan méridional:Noscea:50:True,Brumebleue:Thanalan septentrional:Noscea:50:True,Poussée de Raubahn:Thanalan septentrional:Noscea:50:True,Tête du dragon:Hautes terres du Coerthas central:Noscea:50:True
Minerai de ferbérite|Mineur|Extraction de minerai|50|Pierre|Poussée de Raubahn:Thanalan septentrional:Thanalan:50:True
Pépite d'or natif|Mineur|Extraction de minerai|50|Pierre|Roncenoire:Thanalan central:Thanalan:50:True
Rubis brut|Mineur|Extraction de minerai|50|Pierre|Baie de Moraby:Basse-Noscea:Noscea:50:True
Diamant brut|Mineur|Extraction de minerai|50|Pierre|Roncenoire:Thanalan central:Thanalan:50:True
Émeraude brute|Mineur|Extraction de minerai|50|Pierre|Roncenoire:Thanalan central:Thanalan:50:True
Topaze brute|Mineur|Extraction de minerai|50|Pierre|Poussée de Raubahn:Thanalan septentrional:Thanalan:50:True
Cordiérite brute|Mineur|Extraction de minerai|50|Pierre|Poussée de Raubahn:Thanalan septentrional:Thanalan:50:True
Saphir brut|Mineur|Extraction de minerai|50|Pierre|Baie de Moraby:Basse-Noscea:Noscea:50:True
Agrégat de matière sombre|Mineur|Extraction de minerai|50|Catalyseur|Baie de Moraby:Basse-Noscea:Noscea:50:True,Roncenoire:Thanalan central:Noscea:50:True,Mur incandescent:Thanalan oriental:Noscea:50:True,Eaux-Mortes:Thanalan méridional:Noscea:50:True,Brumebleue:Thanalan septentrional:Noscea:50:True,Poussée de Raubahn:Thanalan septentrional:Noscea:50:True,Tête du dragon:Hautes terres du Coerthas central:Noscea:50:True,Deux-Rivières:Hautes terres du Coerthas occidental:Noscea:50:True
Minerai de cuivre jaune|Mineur|Extraction de minerai|50|Pierre|Deux-Rivières:Hautes terres du Coerthas occidental:Coerthas:50:True
Minerai de platine|Mineur|Extraction de minerai|50|Pierre|Eaux-Mortes:Thanalan méridional:Thanalan:50:True
Éclat d'obsidienne de dragon|Mineur|Extraction de minerai|50|Pierre|Deux-Rivières:Hautes terres du Coerthas occidental:Coerthas:50:False
Premier œuf de basilic|Mineur|Extraction de minerai|50|Pierre|Brumebleue:Thanalan septentrional:Thanalan:50:True
Minerai de pyrite|Mineur|Extraction de minerai|51|Pierre|Terres fumantes:Avant-pays dravanien:Dravania:55:True
Agate brute|Mineur|Extraction de minerai|51|Pierre|Terres fumantes:Avant-pays dravanien:Dravania:55:False
