Madrier d'érable|Menuisier|1||Bois|Rondin d'érable:3|Éclat de vent:1|1|9|40|312|50 max.|Habileté recommandée : 22|0
Galoches|Menuisier|1||Pieds|Madrier d'érable:1|Éclat de vent:1,Éclat de glace:1|1|19|60|312|50 max.|Habileté recommandée : 22|0
Arc court|Menuisier|2||Arme d'archer|Madrier d'érable:1,Fil de chanvre:1|Éclat de vent:1,Éclat de glace:1|1|20|60|325|50 max.|Habileté recommandée : 22|0
Harpon|Menuisier|3||Arme d'hast|Madrier d'érable:1,Fragment d'os:1,Glu animale:1|Éclat de vent:1,Éclat de glace:1|1|20|60|339|50 max.|Habileté recommandée : 22|0
Meule d'amateur|Menuisier|4||Outil secondaire d'orfèvre|Madrier d'érable:1,Lingot de bronze:1,Grès:1|Éclat de vent:1,Éclat de glace:1|1|21|60|352|50 max.|Habileté recommandée : 22|0
Patins|Menuisier|4||Pieds|Madrier d'érable:1,Étoffe de chanvre:1,Cuir:1|Éclat de vent:1,Éclat de glace:1|1|21|60|352|50 max.|Habileté recommandée : 22|0
Rouet d'amateur|Menuisier|5||Outil secondaire de couturier|Madrier d'érable:2,Rivets en bronze:2|Éclat de vent:1,Éclat de glace:1|1|33|60|451|50 max.|Habileté recommandée : 50|0
Bouclier carré|Menuisier|5||Bouclier|Madrier d'érable:1,Rivets en bronze:2|Éclat de vent:1,Éclat de glace:1|1|33|60|451|50 max.|Habileté recommandée : 50|0
Hast|Menuisier|6||Arme d'hast|Madrier d'érable:1,Huile de poisson:1,Lingot de bronze:1|Éclat de vent:1,Éclat de glace:1|1|36|60|474|50 max.|Habileté recommandée : 50|0
Canne|Menuisier|6||Arme à deux mains d'élémentaliste|Madrier d'érable:1,Formule de croissance alpha:1|Éclat de vent:1,Éclat de glace:1|1|36|60|474|50 max.|Habileté recommandée : 50|0
Arc long|Menuisier|7||Arme d'archer|Madrier d'érable:1,Branche d'érable:1,Fil de chanvre:1|Éclat de vent:1,Éclat de glace:1|1|37|60|492|50 max.|Habileté recommandée : 50|0
Crosse|Menuisier|8||Arme à deux mains d'élémentaliste|Madrier d'érable:1,Sang de bête:1|Éclat de vent:1,Éclat de glace:1|1|41|60|526|50 max.|Habileté recommandée : 59|0
Canne à pêche|Menuisier|8||Outil principal de pêcheur|Madrier d'érable:1,Branche d'érable:1,Lingot de bronze:1|Éclat de vent:1,Éclat de glace:1|1|41|60|526|50 max.|Habileté recommandée : 59|0
Arc court orné|Menuisier|9||Arme d'archer|Arc court:1,Branche d'érable:1,Plume de coq:1|Éclat de vent:1,Éclat de glace:1|1|63|60|408|50 max.|Synthèse rapide impossible,Habileté recommandée : 59|0
Bouclier rond|Menuisier|9||Bouclier|Madrier d'érable:1,Rivets en bronze:2,Lingot de bronze:1|Éclat de vent:1,Éclat de glace:1|1|42|60|545|50 max.|Habileté recommandée : 59|0
Madrier de frêne|Menuisier|10||Bois|Rondin de frêne:3|Éclat de vent:1|1|22|40|629|50 max.|Habileté recommandée : 59|0
Macuahuitl|Menuisier|10||Arme de gladiateur|Madrier de frêne:1,Éclat d'obsidienne:1|Éclat de vent:1,Éclat de glace:1|1|45|60|629|50 max.|Habileté recommandée : 59|0
Harpon en corne de bélier|Menuisier|10||Arme d'hast|Madrier de frêne:1,Corne de bélier:1|Éclat de vent:1,Éclat de glace:1|1|45|60|629|50 max.|Habileté recommandée : 59|0
